drug1,drug2,degree
环孢素软胶囊,阿奇霉素片,1
环孢素软胶囊,注射用阿奇霉素,1
环孢素软胶囊,泊沙康唑口服混悬液,3
环孢素软胶囊,伏立康唑片,3
环孢素软胶囊,注射用伏立康唑,3
环孢素软胶囊,氟康唑胶囊,3
环孢素软胶囊,氟康唑氯化钠注射液,3
环孢素软胶囊,吗替麦考酚酯分散片,3
环孢素软胶囊,吗替麦考酚酯胶囊,3
环孢素软胶囊,盐酸莫西沙星片,1
环孢素软胶囊,依维莫司片,1
环孢素软胶囊,依折麦布片,2
环孢素软胶囊,异烟肼片,3
环孢素软胶囊,左氧氟沙星滴眼液,1
环孢素软胶囊,左氧氟沙星氯化钠注射液,1
环孢素软胶囊,左氧氟沙星片,1
环孢素软胶囊,阿昔洛韦片,4
环孢素软胶囊,阿昔洛韦乳膏,4
环孢素软胶囊,注射用阿昔洛韦,4
环孢素软胶囊,乳酸环丙沙星氯化钠注射液,4
环孢素软胶囊,卡马西平片,3
环孢素软胶囊,复方磺胺甲??f唑片,3
环孢素软胶囊,呋塞米片,4
环孢素软胶囊,呋塞米注射液,4
环孢素软胶囊,甘露醇注射液,4
环孢素软胶囊,甲钴胺注射液,4
环孢素软胶囊,甲磺酸多拉司琼注射液,4
环孢素软胶囊,盐酸帕洛诺司琼注射液,4
环孢素软胶囊,乙酰半胱氨酸颗粒,4
环孢素软胶囊,重组人粒细胞刺激因子注射液,4
环孢素软胶囊,注射用奥沙利铂,4
环孢素软胶囊,注射用兰索拉唑,4
环孢素软胶囊,注射用氯诺昔康,4
环孢素软胶囊,注射用帕米膦酸二钠,4
环孢素软胶囊,注射用泮托拉唑钠,4
环孢素软胶囊,注射用培美曲塞二钠,4
环孢素软胶囊,注射用生长抑素,4
环孢素软胶囊,注射用特利加压素,4
环孢素软胶囊,注射用腺苷钴胺,4
环孢素软胶囊,注射用亚叶酸钙,4
环孢素软胶囊,注射用异环磷酰胺,4
环孢素软胶囊,注射用长春西汀,4
环孢素软胶囊,注射用左卡尼汀,4
环孢素软胶囊,注射用唑来膦酸,4
环孢素软胶囊,唑来膦酸注射液,4
环孢素软胶囊,红霉素软膏,7
环孢素软胶囊,红霉素眼膏,7
乳酸环丙沙星氯化钠注射液,环孢素软胶囊,7
注射用环磷酰胺,阿瑞匹坦胶囊,1
注射用环磷酰胺,氟康唑胶囊,2
注射用环磷酰胺,氟康唑氯化钠注射液,2
注射用环磷酰胺,卡铂注射液,2
注射用环磷酰胺,卡培他滨片,0
注射用环磷酰胺,替吉奥胶囊,3
注射用环磷酰胺,秋水仙碱片,3
注射用环磷酰胺,盐酸多柔比星脂质体注射液,6
甲氨蝶呤注射液,多西他赛注射液,2
甲氨蝶呤注射液,塞来昔布胶囊,1
甲氨蝶呤注射液,依托考昔片,1
甲氨蝶呤注射液,铝镁混悬液,6
甲氨蝶呤注射液,氢化可的松注射液,6
甲氨蝶呤注射液,紫杉醇注射液,6
甲氨蝶呤注射液,氟尿嘧啶注射液,4
甲氨蝶呤注射液,阿司匹林肠溶片,7
甲硝唑氯化钠注射液,铝镁混悬液,2
甲硝唑氯化钠注射液,氢化可的松注射液,2
甲硝唑氯化钠注射液,紫杉醇注射液,2
盐酸甲氧氯普胺注射液,丙泊酚注射液,2
盐酸甲氧氯普胺注射液,地西泮片,0
盐酸甲氧氯普胺注射液,地西泮注射液,0
盐酸甲氧氯普胺注射液,盐酸甲氧氯普胺注射液,4
盐酸甲氧氯普胺注射液,氨酚羟考酮片,0
盐酸甲氧氯普胺注射液,氨酚曲马多片,0
盐酸甲氧氯普胺注射液,氨酚双氢可待因片,0
盐酸甲氧氯普胺注射液,对乙酰氨基酚缓释片,0
盐酸甲氧氯普胺注射液,酚麻美敏胶囊,0
盐酸甲氧氯普胺注射液,多巴丝肼片,0
盐酸甲氧氯普胺注射液,环孢素软胶囊,0
盐酸甲氧氯普胺注射液,西咪替丁注射液,4
盐酸甲氧氯普胺注射液,铝镁混悬液,0
盐酸甲氧氯普胺注射液,氢化可的松注射液,0
盐酸甲氧氯普胺注射液,紫杉醇注射液,0
盐酸甲氧氯普胺注射液,硫酸镁注射液,0
盐酸甲氧氯普胺注射液,甲硝唑氯化钠注射液,4
复方聚乙二醇电解质散,地高辛片,3
格列吡嗪控释片,地高辛片,3
卡铂注射液,环孢素软胶囊,0
卡马西平片,奥氮平片,2
卡马西平片,奥美拉唑肠溶胶囊,3
卡马西平片,奥美拉唑碳酸氢钠胶囊,3
卡马西平片,氟康唑胶囊,3
卡马西平片,氟康唑氯化钠注射液,3
卡马西平片,拉莫三嗪片,1
卡马西平片,环孢素软胶囊,3
卡马西平片,红霉素软膏,6
卡马西平片,红霉素眼膏,6
卡马西平片,氟哌啶醇注射液,6
卡马西平片,苯巴比妥片,3
卡马西平片,氨酚羟考酮片,3
卡马西平片,氨酚曲马多片,3
卡马西平片,氨酚双氢可待因片,3
卡马西平片,对乙酰氨基酚缓释片,3
卡马西平片,酚麻美敏胶囊,3
卡马西平片,伏立康唑片,3
卡马西平片,注射用伏立康唑,3
卡马西平片,托伐普坦片,3
拉莫三嗪片,奥氮平片,1
拉莫三嗪片,卡马西平片,4
拉莫三嗪片,氨酚羟考酮片,4
拉莫三嗪片,氨酚曲马多片,4
拉莫三嗪片,氨酚双氢可待因片,4
拉莫三嗪片,对乙酰氨基酚缓释片,4
拉莫三嗪片,酚麻美敏胶囊,4
拉莫三嗪片,丙戊酸钠缓释片,3
拉莫三嗪片,丙戊酸钠口服溶液,3
拉莫三嗪片,注射用丙戊酸钠,3
注射用兰索拉唑,氨酚羟考酮片,3
注射用兰索拉唑,氨酚曲马多片,3
注射用兰索拉唑,氨酚双氢可待因片,3
注射用兰索拉唑,对乙酰氨基酚缓释片,3
注射用兰索拉唑,酚麻美敏胶囊,3
注射用兰索拉唑,地西泮片,3
注射用兰索拉唑,地西泮注射液,3
葡萄糖酸钙注射液,铝镁混悬液,3
葡萄糖酸钙注射液,氢化可的松注射液,3
葡萄糖酸钙注射液,紫杉醇注射液,3
复方利多卡因乳膏,奥美拉唑肠溶胶囊,1
复方利多卡因乳膏,奥美拉唑碳酸氢钠胶囊,1
复方利多卡因乳膏,丙泊酚注射液,1
复方利多卡因乳膏,红霉素软膏,2
复方利多卡因乳膏,红霉素眼膏,2
复方利多卡因乳膏,乳酸环丙沙星氯化钠注射液,3
复方利多卡因乳膏,咪达唑仑注射液,2
复方利多卡因乳膏,苯巴比妥片,3
复方利多卡因乳膏,西咪替丁注射液,3
利格列汀片,盐酸吡格列酮片,1
利格列汀片,地高辛片,1
利格列汀片,盐酸二甲双胍片,1
利格列汀片,辛伐他汀片,1
利奈唑胺葡萄糖注射液,间苯三酚注射液,1
利奈唑胺葡萄糖注射液,维生素C片,1
利奈唑胺葡萄糖注射液,维生素C注射液,1
利奈唑胺葡萄糖注射液,盐酸异丙嗪注射液,1
利奈唑胺葡萄糖注射液,右旋糖酐铁片,1
利奈唑胺葡萄糖注射液,长春西汀注射液,1
利奈唑胺注射液,间苯三酚注射液,1
利奈唑胺注射液,维生素C片,1
利奈唑胺注射液,维生素C注射液,1
利奈唑胺注射液,盐酸异丙嗪注射液,1
利奈唑胺注射液,右旋糖酐铁片,1
利奈唑胺注射液,长春西汀注射液,1
利奈唑胺葡萄糖注射液,铝镁混悬液,5
利奈唑胺葡萄糖注射液,氢化可的松注射液,5
利奈唑胺葡萄糖注射液,紫杉醇注射液,5
利奈唑胺注射液,铝镁混悬液,5
利奈唑胺注射液,氢化可的松注射液,5
利奈唑胺注射液,紫杉醇注射液,5
利奈唑胺葡萄糖注射液,地西泮片,5
利奈唑胺葡萄糖注射液,地西泮注射液,5
利奈唑胺注射液,地西泮片,5
利奈唑胺注射液,地西泮注射液,5
利奈唑胺葡萄糖注射液,红霉素软膏,5
利奈唑胺葡萄糖注射液,红霉素眼膏,5
利奈唑胺注射液,红霉素软膏,5
利奈唑胺注射液,红霉素眼膏,5
硫酸镁注射液,丙泊酚注射液,2
硫酸镁注射液,钠钾镁钙葡萄糖注射液,7
硫酸镁注射液,葡萄糖酸钙注射液,7
硫酸镁注射液,盐酸多巴酚丁胺注射液,7
硫酸镁注射液,盐酸普鲁卡因注射液,7
硫酸镁注射液,地高辛片,3
硫酸镁注射液,异烟肼片,3
柳氮磺吡啶肠溶片,甲泼尼龙片,1
柳氮磺吡啶肠溶片,甲氨蝶呤注射液,6
螺内酯片,地高辛片,4
螺内酯片,氢氯噻嗪片,0
吗替麦考酚酯分散片,阿昔洛韦片,3
吗替麦考酚酯分散片,阿昔洛韦乳膏,3
吗替麦考酚酯分散片,注射用阿昔洛韦,3
吗替麦考酚酯胶囊,阿昔洛韦片,3
吗替麦考酚酯胶囊,阿昔洛韦乳膏,3
吗替麦考酚酯胶囊,注射用阿昔洛韦,3
吗替麦考酚酯分散片,缬沙坦胶囊,1
吗替麦考酚酯胶囊,缬沙坦胶囊,1
咪达唑仑注射液,阿奇霉素片,1
咪达唑仑注射液,注射用阿奇霉素,1
咪达唑仑注射液,阿瑞匹坦胶囊,3
咪达唑仑注射液,丙泊酚注射液,2
咪达唑仑注射液,泊沙康唑口服混悬液,3
咪达唑仑注射液,伏立康唑片,3
咪达唑仑注射液,注射用伏立康唑,3
咪达唑仑注射液,红霉素软膏,3
咪达唑仑注射液,红霉素眼膏,3
咪达唑仑注射液,甲硝唑氯化钠注射液,3
咪达唑仑注射液,铝镁混悬液,6
咪达唑仑注射液,氢化可的松注射液,6
咪达唑仑注射液,紫杉醇注射液,6
咪达唑仑注射液,西咪替丁注射液,3
复方甲氧那明胶囊,奥美拉唑肠溶胶囊,3
复方甲氧那明胶囊,奥美拉唑碳酸氢钠胶囊,3
尼莫地平片,西咪替丁注射液,3
尼莫地平片,芬太尼透皮贴剂,7
尼莫地平片,地高辛片,3
普罗布考片,环孢素软胶囊,4
盐酸普罗帕酮片,地高辛片,3
盐酸普罗帕酮片,西咪替丁注射液,3
氢氯噻嗪片,布洛芬颗粒,3
氢氯噻嗪片,氨酚羟考酮片,1
氢氯噻嗪片,氨酚曲马多片,1
氢氯噻嗪片,氨酚双氢可待因片,1
氢氯噻嗪片,对乙酰氨基酚缓释片,1
氢氯噻嗪片,酚麻美敏胶囊,1
氢氯噻嗪片,呋塞米片,2
氢氯噻嗪片,呋塞米注射液,2
氢氯噻嗪片,卡马西平片,2
氢氯噻嗪片,坎地沙坦酯片,1
氢氯噻嗪片,托伐普坦片,1
氢氯噻嗪片,缬沙坦胶囊,1
氢氯噻嗪片,奥美拉唑碳酸氢钠胶囊,6
氢氯噻嗪片,复方聚乙二醇电解质散,6
氢氯噻嗪片,间苯三酚注射液,6
氢氯噻嗪片,碳酸氢钠片,6
氢氯噻嗪片,碳酸氢钠注射液,6
氢氯噻嗪片,维生素C注射液,6
氢氯噻嗪片,胃铋镁颗粒,6
氢氯噻嗪片,阿司匹林肠溶片,4
氢氯噻嗪片,维生素AD软胶囊,4
氢氯噻嗪片,复方磺胺甲??f唑片,4
氢氯噻嗪片,醋酸钠林格注射液,3
氢氯噻嗪片,丁苯酞氯化钠注射液,3
氢氯噻嗪片,丁溴东莨菪碱注射液,3
氢氯噻嗪片,多索茶碱氯化钠注射液,3
氢氯噻嗪片,多索茶碱注射液,3
氢氯噻嗪片,呋塞米注射液,3
氢氯噻嗪片,氟康唑氯化钠注射液,3
氢氯噻嗪片,复方聚乙二醇电解质散,3
氢氯噻嗪片,复方氯化钠注射液,3
氢氯噻嗪片,肝素钠注射液,3
氢氯噻嗪片,格列吡嗪控释片,3
氢氯噻嗪片,甲钴胺注射液,3
氢氯噻嗪片,甲硝唑氯化钠注射液,3
氢氯噻嗪片,聚明胶肽注射液,3
氢氯噻嗪片,氯化钠注射液,3
氢氯噻嗪片,钠钾镁钙葡萄糖注射液,3
氢氯噻嗪片,葡萄糖氯化钠注射液,3
氢氯噻嗪片,葡萄糖酸钙锌口服溶液,3
氢氯噻嗪片,羟乙基淀粉130/0.4氯化钠注射液,3
氢氯噻嗪片,乳酸环丙沙星氯化钠注射液,3
氢氯噻嗪片,三磷酸腺苷二钠注射液,3
氢氯噻嗪片,生理氯化钠溶液,3
氢氯噻嗪片,舒洛地特注射液,3
氢氯噻嗪片,顺铂注射液,3
氢氯噻嗪片,维生素B注射液,3
氢氯噻嗪片,维生素B1注射液,3
氢氯噻嗪片,盐酸昂丹司琼注射液,3
氢氯噻嗪片,盐酸多巴胺注射液,3
氢氯噻嗪片,盐酸利多卡因注射液,3
氢氯噻嗪片,盐酸普鲁卡因注射液,3
氢氯噻嗪片,盐酸肾上腺素注射液,3
氢氯噻嗪片,盐酸托烷司琼注射液,3
氢氯噻嗪片,盐酸异丙嗪注射液,3
氢氯噻嗪片,重酒石酸间羟胺注射液,3
氢氯噻嗪片,重酒石酸去甲肾上腺素注射液,3
氢氯噻嗪片,注射用白眉蛇毒血凝酶,3
氢氯噻嗪片,注射用亚叶酸钙,3
秋水仙碱片,阿奇霉素片,1
秋水仙碱片,注射用阿奇霉素,1
秋水仙碱片,环孢素软胶囊,3
秋水仙碱片,辛伐他汀片,3
复方谷氨酰胺肠溶胶囊,咪达唑仑注射液,3
麝香保心丸,盐酸托烷司琼注射液,1
麝香保心丸,注射用特利加压素,1
瑞格列奈片,地高辛片,1
瑞格列奈片,非诺贝特胶囊,1
瑞格列奈片,环孢素软胶囊,3
瑞格列奈片,西咪替丁注射液,1
瑞格列奈片,注射用醋酸奥曲肽微球,0
瑞格列奈片,铝镁混悬液,0
瑞格列奈片,氢化可的松注射液,0
瑞格列奈片,紫杉醇注射液,0
硫酸沙丁胺醇吸入气雾剂,吸入用复方异丙托溴铵溶液,2
硫酸沙丁胺醇吸入气雾剂,吸入用异丙托溴铵溶液,2
沙格列汀片,盐酸吡格列酮片,1
沙格列汀片,盐酸二甲双胍片,1
沙格列汀片,辛伐他汀片,1
双嘧达莫片,氟尿嘧啶注射液,0
双嘧达莫片,甲氨蝶呤注射液,2
双嘧达莫片,西洛他唑片,2
双嘧达莫片,阿司匹林肠溶片,0
枸橼酸他莫昔芬片,依西美坦片,1
枸橼酸他莫昔芬片,西咪替丁注射液,4
碳酸钙片,乳酸环丙沙星氯化钠注射液,4
碳酸钙片,氧氟沙星滴眼液,1
碳酸钙片,维生素AD软胶囊,0
托伐普坦片,地高辛片,3
托拉塞米注射液,厄贝沙坦片,1
托拉塞米注射液,盐酸肾上腺素注射液,4
托拉塞米注射液,奥美拉唑碳酸氢钠胶囊,6
托拉塞米注射液,复方聚乙二醇电解质散,6
托拉塞米注射液,间苯三酚注射液,6
托拉塞米注射液,碳酸氢钠片,6
托拉塞米注射液,碳酸氢钠注射液,6
托拉塞米注射液,维生素C注射液,6
托拉塞米注射液,胃铋镁颗粒,6
托拉塞米注射液,铝镁混悬液,0
托拉塞米注射液,氢化可的松注射液,0
托拉塞米注射液,紫杉醇注射液,0
托拉塞米注射液,阿司匹林肠溶片,4
维格列汀片,盐酸吡格列酮片,1
维格列汀片,盐酸二甲双胍片,1
维格列汀片,地高辛片,1
维格列汀片,辛伐他汀片,1
维格列汀片,缬沙坦胶囊,1
维生素AD软胶囊,苯巴比妥片,4
西洛他唑片,普罗布考片,1
西洛他唑片,红霉素软膏,3
西洛他唑片,红霉素眼膏,3
西咪替丁注射液,阿普唑仑片,3
西咪替丁注射液,布洛芬颗粒,1
西咪替丁注射液,地高辛片,1
西咪替丁注射液,氨酚羟考酮片,1
西咪替丁注射液,氨酚曲马多片,1
西咪替丁注射液,氨酚双氢可待因片,1
西咪替丁注射液,对乙酰氨基酚缓释片,1
西咪替丁注射液,酚麻美敏胶囊,1
西咪替丁注射液,伏立康唑片,1
西咪替丁注射液,注射用伏立康唑,1
西咪替丁注射液,卡马西平片,1
西咪替丁注射液,拉莫三嗪片,1
西咪替丁注射液,复方利多卡因乳膏,1
西咪替丁注射液,氯雷他定片,1
西咪替丁注射液,注射用氯诺昔康,2
西咪替丁注射液,咪达唑仑注射液,1
西咪替丁注射液,硝苯地平控释片,2
西咪替丁注射液,硝苯地平片,2
西咪替丁注射液,依巴斯汀片,1
西咪替丁注射液,铝镁混悬液,1
西咪替丁注射液,氢化可的松注射液,1
西咪替丁注射液,紫杉醇注射液,1
西咪替丁注射液,阿司匹林肠溶片,0
西咪替丁注射液,环孢素软胶囊,3
西咪替丁注射液,盐酸甲氧氯普胺注射液,3
硝苯地平控释片,盐酸二甲双胍片,1
硝苯地平片,盐酸二甲双胍片,1
硝苯地平控释片,西咪替丁注射液,3
硝苯地平片,西咪替丁注射液,3
硝酸甘油注射液,阿司匹林肠溶片,0
硝酸甘油注射液,铝镁混悬液,4
硝酸甘油注射液,氢化可的松注射液,4
硝酸甘油注射液,紫杉醇注射液,4
缬沙坦胶囊,呋塞米片,1
缬沙坦胶囊,呋塞米注射液,1
缬沙坦胶囊,西咪替丁注射液,1
辛伐他汀片,吸入用布地奈德混悬液,0
辛伐他汀片,非诺贝特胶囊,1
辛伐他汀片,氟康唑胶囊,3
辛伐他汀片,氟康唑氯化钠注射液,3
辛伐他汀片,红霉素软膏,3
辛伐他汀片,红霉素眼膏,3
辛伐他汀片,环孢素软胶囊,3
辛伐他汀片,卡马西平片,3
辛伐他汀片,咪达唑仑注射液,1
辛伐他汀片,维格列汀片,1
辛伐他汀片,缬沙坦胶囊,1
复方消化酶胶囊,环孢素软胶囊,1
熊去氧胆酸软胶囊,环孢素软胶囊,1
复方消化酶胶囊,咪达唑仑注射液,1
熊去氧胆酸软胶囊,咪达唑仑注射液,1
复方消化酶胶囊,辛伐他汀片,2
熊去氧胆酸软胶囊,辛伐他汀片,2
溴吡斯的明片,硫酸沙丁胺醇吸入气雾剂,2
溴吡斯的明片,硫酸阿托品注射液,3
维生素B6注射液,硫酸阿托品注射液,0
维生素B6注射液,苯巴比妥片,3
维生素B6注射液,地高辛片,3
维生素B6注射液,肠内营养粉剂,5
依托考昔片,阿司匹林肠溶片,3
依托考昔片,芬太尼透皮贴剂,4
米曲菌胰酶片,奥美拉唑肠溶胶囊,1
米曲菌胰酶片,奥美拉唑碳酸氢钠胶囊,1
胰酶肠溶胶囊,奥美拉唑肠溶胶囊,1
胰酶肠溶胶囊,奥美拉唑碳酸氢钠胶囊,1
胰酶肠溶片,奥美拉唑肠溶胶囊,1
胰酶肠溶片,奥美拉唑碳酸氢钠胶囊,1
米曲菌胰酶片,环孢素软胶囊,2
胰酶肠溶胶囊,环孢素软胶囊,2
胰酶肠溶片,环孢素软胶囊,2
米曲菌胰酶片,奥美拉唑碳酸氢钠胶囊,4
米曲菌胰酶片,复方聚乙二醇电解质散,4
米曲菌胰酶片,间苯三酚注射液,4
米曲菌胰酶片,碳酸氢钠片,4
米曲菌胰酶片,碳酸氢钠注射液,4
米曲菌胰酶片,维生素C注射液,4
米曲菌胰酶片,胃铋镁颗粒,4
胰酶肠溶胶囊,奥美拉唑碳酸氢钠胶囊,4
胰酶肠溶胶囊,复方聚乙二醇电解质散,4
胰酶肠溶胶囊,间苯三酚注射液,4
胰酶肠溶胶囊,碳酸氢钠片,4
胰酶肠溶胶囊,碳酸氢钠注射液,4
胰酶肠溶胶囊,维生素C注射液,4
胰酶肠溶胶囊,胃铋镁颗粒,4
胰酶肠溶片,奥美拉唑碳酸氢钠胶囊,4
胰酶肠溶片,复方聚乙二醇电解质散,4
胰酶肠溶片,间苯三酚注射液,4
胰酶肠溶片,碳酸氢钠片,4
胰酶肠溶片,碳酸氢钠注射液,4
胰酶肠溶片,维生素C注射液,4
胰酶肠溶片,胃铋镁颗粒,4
米曲菌胰酶片,西咪替丁注射液,3
胰酶肠溶胶囊,西咪替丁注射液,3
胰酶肠溶片,西咪替丁注射液,3
米曲菌胰酶片,阿卡波糖片,5
胰酶肠溶胶囊,阿卡波糖片,5
胰酶肠溶片,阿卡波糖片,5
米曲菌胰酶片,盐酸吡格列酮片,5
胰酶肠溶胶囊,盐酸吡格列酮片,5
胰酶肠溶片,盐酸吡格列酮片,5
吸入用乙酰半胱氨酸溶液,乳酸环丙沙星氯化钠注射液,2
乙酰半胱氨酸颗粒,乳酸环丙沙星氯化钠注射液,2
吸入用乙酰半胱氨酸溶液,硝酸甘油注射液,3
乙酰半胱氨酸颗粒,硝酸甘油注射液,3
吸入用乙酰半胱氨酸溶液,复方消化酶胶囊,7
吸入用乙酰半胱氨酸溶液,胰酶肠溶胶囊,7
乙酰半胱氨酸颗粒,复方消化酶胶囊,7
乙酰半胱氨酸颗粒,胰酶肠溶胶囊,7
异烟肼片,阿司匹林肠溶片,3
多巴丝肼片,恩他卡朋片,1
多巴丝肼片,维生素B6片,3
多巴丝肼片,维生素B6注射液,3
左氧氟沙星滴眼液,环孢素软胶囊,3
左氧氟沙星氯化钠注射液,环孢素软胶囊,3
左氧氟沙星片,环孢素软胶囊,3
左氧氟沙星滴眼液,布洛芬颗粒,4
左氧氟沙星氯化钠注射液,布洛芬颗粒,4
左氧氟沙星片,布洛芬颗粒,4
硫酸阿托品注射液,异烟肼片,0
硫酸阿托品注射液,地高辛片,0
硫酸阿托品注射液,维生素B注射液,0
硫酸阿托品注射液,硫酸镁注射液,7
硫酸阿托品注射液,奥美拉唑碳酸氢钠胶囊,6
硫酸阿托品注射液,复方聚乙二醇电解质散,6
硫酸阿托品注射液,间苯三酚注射液,6
