注射用奥沙利铂,神经病变
去乙酰毛花苷注射液,交界性心动过速
地高辛片,交界性心动过速
地高辛片,交界性心动过速
去乙酰毛花苷注射液,阵发性房性心动过速伴房室传导阻滞
地高辛片,阵发性房性心动过速伴房室传导阻滞
酒石酸托特罗定片,干眼症
注射用倍他米松磷酸钠,精神病
非洛地平缓释片,咽炎
甘露醇注射液,血栓性静脉炎
复方磺胺甲f唑片,血红蛋白尿
醋酸曲普瑞林注射液,性欲减退女
复方磺胺甲f唑片,黄疸
去乙酰毛花苷注射液,心室颤动
地高辛片,心室颤动
盐酸多西环素片,呼吸道感染
盐酸多西环素片,尿路感染
盐酸多西环素片,消化道感染
盐酸胺碘酮注射液,纤维化性肺泡炎
注射用左卡尼汀,失眠
注射用左卡尼汀,压抑
注射用左卡尼汀,头晕
地塞米松磷酸钠注射液,糖皮质激素停药综合征
盐酸二甲双胍片,糖尿病眼底病变
盐酸二甲双胍片,糖尿病肾病
盐酸二甲双胍片,糖尿病合并严重的慢性并发症
注射用倍他米松磷酸钠,骨质疏松症
去乙酰毛花苷注射液,室性心动过速
地高辛片,室性心动过速
复方磺胺甲f唑片,肾脏损害
注射用顺铂,肾小管损伤
氢化可的松注射液,皮质激素停药综合征
非洛地平缓释片,皮肤挫伤
复合乳酸菌胶囊,偶见皮疹
醋酸曲普瑞林注射液,男性热潮红阳痿
阿加曲班注射液,出血性脑梗塞
阿加曲班注射液,血小板减少性紫癜
阿加曲班注射液,颅内出血
非洛地平缓释片,流行性感冒
甘露醇注射液,口渴
注射用左卡尼汀,鼻炎
注射用左卡尼汀,咽喉炎
非洛地平缓释片,呼吸道感染
非洛地平缓释片,红斑
甘露醇注射液,寒战
盐酸胺碘酮注射液,过敏性肺炎
葡萄糖氯化钠注射液,高血糖非酮症昏迷
氢氯噻嗪片,高糖血症
注射用左卡尼汀,血容量增多症
注射用左卡尼汀,高钾血症
注射用左卡尼汀,高钙血症
复方磺胺甲f唑片,高胆红素血症
复方磺胺甲f唑片,肝脏损害
非洛地平缓释片,风疹
巴氯芬片,骨骼肌痉挛
去乙酰毛花苷注射液,房室传导阻滞
地高辛片,房室传导阻滞
注射用倍他米松磷酸钠,高血压
注射用倍他米松磷酸钠,肾上腺皮质机能亢进症
注射用倍他米松磷酸钠,骨折创伤
注射用倍他米松磷酸钠,新近胃肠吻合手术
注射用倍他米松磷酸钠,消化性溃疡
注射用倍他米松磷酸钠,糖尿病
注射用倍他米松磷酸钠,癫痫
非洛地平缓释片,鼻窦炎
硫酸羟氯喹片,关节炎
硫酸羟氯喹片,红斑狼疮
骨化三醇胶丸,骨质疏松
骨化三醇胶丸,慢性肾功能衰竭
骨化三醇胶丸,甲状旁腺功能低下
骨化三醇胶丸,维生素D依赖性佝偻病
低分子肝素钙注射液,静脉血栓
甲磺酸酚妥拉明注射液,嗜铬细胞瘤
甲磺酸酚妥拉明注射液,左心室衰竭
注射用倍他米松磷酸钠,关节炎
注射用倍他米松磷酸钠,支气管哮喘
注射用替考拉宁,革兰阳性菌感染
乳果糖口服溶液,便秘
多烯磷脂酰胆碱注射液,肝病
妥布霉素地塞米松滴眼液,眼炎
注射用尿激酶,肺栓塞
辅酶Q10胶囊,病毒性心肌炎
辅酶Q10胶囊,肝炎
辅酶Q10胶囊,慢性心功能不全
盐酸多西环素片,立克次体病
盐酸多西环素片,支原体属感染
盐酸多西环素片,回归热
盐酸多西环素片,霍乱
盐酸多西环素片,鼠疫
盐酸多西环素片,布鲁菌病
卡马西平片,三叉神经痛
卡马西平片,舌咽神经痛
卡马西平片,中枢性部分性尿崩症
卡马西平片,抑郁症
卡马西平片,精神分裂症
卡马西平片,不宁腿综合征
非洛地平缓释片,高血压
非洛地平缓释片,心绞痛
注射用门冬氨酸鸟氨酸,肝硬化
注射用门冬氨酸鸟氨酸,脂肪肝
注射用门冬氨酸鸟氨酸,高血氨症
酚麻美敏胶囊,流行性感冒
人血白蛋白,休克
人血白蛋白,脑水肿
人血白蛋白,肝硬化
人血白蛋白,低蛋白血症
人血白蛋白,高胆红素血症
盐酸胺碘酮注射液,心律失常
溴吡斯的明片,重症肌无力
硝酸甘油注射液,冠心病
硝酸甘油注射液,心绞痛
硝酸甘油注射液,充血性心力衰竭
头孢呋辛酯片,支气管炎
头孢呋辛酯片,中耳炎
头孢呋辛酯片,鼻窦炎
头孢呋辛酯片,扁桃体炎
头孢呋辛酯片,咽炎
头孢呋辛酯片,脓皮病
头孢呋辛酯片,淋病
对乙酰氨基酚缓释片,感冒
枸橼酸莫沙必利片,消化不良
注射用硫酸长春地辛,细胞肺癌
注射用硫酸长春地辛,淋巴瘤
丙戊酸钠缓释片,癫痫
丙戊酸钠缓释片,躁狂症
左甲状腺素钠片,甲状腺肿
米非司酮片,流产
炉甘石洗剂,荨麻疹
炉甘石洗剂,痱子
地塞米松磷酸钠注射液,结缔组织病
地塞米松磷酸钠注射液,活动性风湿病
地塞米松磷酸钠注射液,类风湿性关节炎
地塞米松磷酸钠注射液,红斑狼疮
地塞米松磷酸钠注射液,溃疡性结肠炎
地塞米松磷酸钠注射液,急性白血病
地塞米松磷酸钠注射液,皮炎
谷维素片,神经官能症
谷维素片,经前期紧张综合症
谷维素片,更年期综合症助眠
阿托伐他汀钙片,高胆固醇血症
盐酸多奈哌齐片,高脂血症
盐酸西替利嗪片,过敏性鼻炎
盐酸西替利嗪片,皮肤瘙痒嗪片
盐酸西替利嗪片,荨麻疹
氧氟沙星滴眼液,细菌性结膜炎
氧氟沙星滴眼液,细菌性角膜炎
注射用头孢唑林钠,中耳炎
注射用头孢唑林钠,支气管炎
阿卡波糖胶囊,糖尿病
妥布霉素滴眼液,眼部感染
甲氨蝶呤片,白血病
甲氨蝶呤片,肺癌
甲氨蝶呤片,乳腺癌
甲氨蝶呤片,卵巢癌
甲氨蝶呤片,宫颈癌
甲氨蝶呤片,睾丸癌
甘露醇注射液,
硝苯地平控释片,
曲安奈德益康唑乳膏,
注射用生长抑素,
氟米龙滴眼液,
注射用左卡尼汀,
玻璃酸钠滴眼液,
注射用盐酸阿糖胞苷,
华法林钠片,
噻托溴铵粉吸入剂,
富马酸比索洛尔片,
阿那曲唑片,
盐酸吡格列酮片,
注射用盐酸伊达比星,
卡前列甲酯栓,
盐酸伊立替康注射液,
氯硝西泮片,
盐酸特拉唑嗪片,
依帕司他片,
硫辛酸注射液,
硫酸镁注射液,
注射用阿昔洛韦,
重酒石酸间羟胺注射液,
三磷酸腺苷二钠注射液,
蒙脱石散,
紫杉醇注射液,
阿昔洛韦乳膏,
氢氯噻嗪片,
氟他胺片,
格列齐特缓释片,
缩宫素注射液,
注射用青霉素钠,
盐酸氟桂利嗪胶囊,
盐酸阿米替林片,
注射用更昔洛韦,
苯溴马隆片,
聚乙二醇4000散剂,
复方聚乙二醇电解质散,
尼可刹米注射液,
尼可地尔片,
季德胜蛇药片,
莫匹罗星软膏,
苯磺酸氨氯地平片,
甘草锌颗粒,
厄贝沙坦片,
胞磷胆碱钠注射液,
螺内酯片,
维生素B1注射液,
格列吡嗪控释片,
肝素钠注射液,
盐酸地尔硫卓片,
呋塞米片,
氯化钾缓释片,
磷酸奥司他韦胶囊,
醋酸钙片,
盐酸普罗帕酮片,
醋酸地塞米松片,
多巴丝肼片,
盐酸利多卡因注射液,
碳酸氢钠片,
西洛他唑片,
氨甲环酸注射液,
盐酸雷尼替丁注射液,
注射用氯诺昔康,
西咪替丁注射液,
维生素K1注射液,
双嘧达莫片,
丁溴东莨菪碱注射液,
克拉霉素片,
克林霉素磷酸酯注射液,
复方甘草酸苷注射液,
吡嗪酰胺片,
巴氯芬片,
盐酸洛贝林注射液,
利福喷丁胶囊,
乳酸环丙沙星氯化钠注射液,
吗替麦考酚酯胶囊,
盐酸曲美他嗪片,
头孢地尼胶囊,
氢化可的松注射液,
盐酸雷尼替丁胶囊,
注射用亚叶酸钙,
注射用鼠神经生长因子,
注射用奥沙利铂,
依巴斯汀片,
奥美拉唑肠溶胶囊,
注射用盐酸万古霉素,
盐酸乌拉地尔注射液,
注射用奥美拉唑钠,
双氯芬酸钠缓释片,
硫酸沙丁胺醇注射液,
雷贝拉唑钠肠溶片,
维生素C注射液,
盐酸伊托必利片,
佐匹克隆片,
注射用异环磷酰胺,
盐酸普罗帕酮注射液,
甲钴胺片,
酒石酸托特罗定片,
氯雷他定片,
醋酸曲普瑞林注射液,
酚磺乙胺注射液,
氨茶碱片,
顺铂注射液,
炔诺酮片,
卡铂注射液,
氟康唑胶囊,
碳酸钙片,
阿卡波糖片,
艾地苯醌片,
注射用纤溶酶,
注射用胸腺五肽,
复方消化酶胶囊,
盐酸替扎尼定片,
生理氯化钠溶液,
硫酸阿米卡星注射液,
注射用头孢呋辛钠,
阿昔洛韦片,
注射用白眉蛇毒血凝酶,
依托泊苷注射液,
葡萄糖酸钙注射液,
伏格列波糖片,
枸橼酸他莫昔芬片,
盐酸消旋山莨菪碱注射液,
丙戊酸钠口服溶液,
比卡鲁胺片,
注射用美罗培南,
阿奇霉素片,
盐酸甲氧氯普胺注射液,
他克莫司胶囊,
复方谷氨酰胺肠溶胶囊,
苯巴比妥片,
高三尖杉酯碱注射液,
普罗布考片,
注射用硫酸多粘菌素B,
注射用盐酸地尔硫卓,
铝碳酸镁片,
孟鲁司特钠片,
醋酸去氨加压素注射液,
氢溴酸山莨菪碱注射液,
注射用硝普钠,
盐酸胺碘酮片,
门冬氨酸钾镁注射液,
依诺肝素钠注射液,
奥美沙坦酯片,
注射用哌拉西林钠他唑巴坦钠,
左氧氟沙星片,
托拉塞米注射液,
注射用甲泼尼龙琥珀酸钠,
注射用头孢噻肟钠,
阿司匹林肠溶片,
维生素C片,
布洛芬颗粒,
氟哌啶醇注射液,
硝酸异山梨酯片,
秋水仙碱片,
红霉素软膏,
硝苯地平片,
注射用泮托拉唑钠,
注射用头孢曲松钠,
盐酸昂丹司琼注射液,
多索茶碱片,
维生素B12注射液,
苯磺酸左旋氨氯地平片,
盐酸帕罗西汀片,
碘海醇注射液,
盐酸曲唑酮片,
黄体酮注射液,
糠酸莫米松乳膏,
双氯芬酸钠栓,
恩替卡韦片,
红霉素眼膏,
多潘立酮片,
地高辛片,
尼莫地平片,
注射用盐酸吉西他滨,
低分子肝素钠注射液,
缬沙坦胶囊,
盐酸贝尼地平片,
唑来膦酸注射液,
盐酸二甲双胍片,
注射用盐酸表柔比星,
注射用氨磷汀,
碳酸氢钠注射液,
非诺贝特胶囊,
富马酸酮替芬片,
外用冻干人纤维蛋白粘合剂,
盐酸氨基葡萄糖胶囊,
维生素B6注射液,
垂体后叶注射液,
呋塞米注射液,
盐酸异丙嗪注射液,
盐酸普鲁卡因注射液,
硫酸阿托品注射液,
阿加曲班注射液,
吲哚美辛肠溶片,
盐酸氨溴索注射液,
巴曲酶注射液,
注射用腺苷钴胺,
乙酰半胱氨酸颗粒,
亚甲蓝注射液,
注射用唑来膦酸,
尼麦角林片,
美敏伪麻溶液,
复方氯化钠注射液,
盐酸肾上腺素注射液,
酒石酸美托洛尔片,
盐酸多巴胺注射液,
盐酸黄酮哌酯片,
醋酸泼尼松片,
盐酸多巴酚丁胺注射液,
盐酸托烷司琼注射液,
甲泼尼龙片,
氨茶碱注射液,
格列美脲片,
吲达帕胺片,
氯化钠注射液,
甲钴胺注射液,
注射用环磷酰胺,
坎地沙坦酯片,
注射用辅酶A,
复方泛影葡胺注射液,
福辛普利钠片,
卡培他滨片,
吗替麦考酚酯分散片,
丙氨酰谷氨酰胺注射液,
钆喷酸葡胺注射液,
瑞巴派特片,
多索茶碱注射液,
盐酸坦索罗辛缓释胶囊,
注射用帕米膦酸二钠,
复方磺胺甲f唑片,
氟尿嘧啶注射液,
盐酸多塞平片,
注射用头孢他啶,
乳酸钠林格注射液,
注射用阿奇霉素,
辛伐他汀片,
注射用顺铂,
地西泮片,
多西他赛注射液,
丁苯酞软胶囊,
阿法骨化醇软胶囊,
盐酸氨溴索片,
碘帕醇注射液,
复合维生素B片,
非那雄胺片,
右旋糖酐铁片,
葡萄糖氯化钠注射液,
盐酸贝那普利片,
复方甲氧那明胶囊,
聚明胶肽注射液,
盐酸赛庚啶片,
